time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:40:2620,-0.0475,0.0042,-0.0173,0.051
19:40:40:2670,-0.0475,0.0042,-0.0173,0.051
19:40:40:2730,-0.0475,0.0042,-0.0173,0.051
19:40:40:2770,-0.0475,0.0042,-0.0173,0.051
19:40:40:2819,0.1862,-0.2057,-0.0229,0.278
19:40:40:2870,0.1862,-0.2057,-0.0229,0.278
19:40:40:2930,0.1862,-0.2057,-0.0229,0.278
19:40:40:2970,0.1862,-0.2057,-0.0229,0.278
19:40:40:3020,-0.0298,0.0200,-0.2189,0.222
19:40:40:3070,-0.0298,0.0200,-0.2189,0.222
19:40:40:3120,-0.0298,0.0200,-0.2189,0.222
19:40:40:3170,-0.0298,0.0200,-0.2189,0.222
19:40:40:3210,-0.0010,0.0659,-0.5357,0.540
19:40:40:3270,-0.0010,0.0659,-0.5357,0.540
19:40:40:3320,-0.0010,0.0659,-0.5357,0.540
19:40:40:3370,-0.0010,0.0659,-0.5357,0.540
19:40:40:3430,0.0276,0.3690,-0.9603,1.029
19:40:40:3459,0.0276,0.3690,-0.9603,1.029
19:40:40:3510,0.0276,0.3690,-0.9603,1.029
19:40:40:3560,0.0276,0.3690,-0.9603,1.029
19:40:40:3730,-0.0665,0.5074,-0.5260,0.734
19:40:40:3740,-0.0665,0.5074,-0.5260,0.734
19:40:40:3740,-0.0665,0.5074,-0.5260,0.734
19:40:40:3750,-0.0665,0.5074,-0.5260,0.734
19:40:40:3810,0.0163,0.0317,-0.3497,0.352
19:40:40:3860,0.0163,0.0317,-0.3497,0.352
19:40:40:3910,0.0163,0.0317,-0.3497,0.352
19:40:40:3960,0.0163,0.0317,-0.3497,0.352
19:40:40:4010,-0.1326,0.1813,0.4404,0.494
19:40:40:4050,-0.1326,0.1813,0.4404,0.494
19:40:40:4100,-0.1326,0.1813,0.4404,0.494
19:40:40:4160,-0.1326,0.1813,0.4404,0.494
19:40:40:4200,-0.1317,0.1639,-0.5377,0.577
19:40:40:4260,-0.1317,0.1639,-0.5377,0.577
19:40:40:4300,-0.1317,0.1639,-0.5377,0.577
19:40:40:4360,-0.1317,0.1639,-0.5377,0.577
19:40:40:4400,-0.0495,0.2494,-0.6535,0.701
19:40:40:4450,-0.0495,0.2494,-0.6535,0.701
19:40:40:4500,-0.0495,0.2494,-0.6535,0.701
19:40:40:4550,-0.0495,0.2494,-0.6535,0.701
19:40:40:4600,-0.0899,-0.3090,-0.0995,0.337
19:40:40:4650,-0.0899,-0.3090,-0.0995,0.337
19:40:40:4700,-0.0899,-0.3090,-0.0995,0.337
19:40:40:4760,-0.0899,-0.3090,-0.0995,0.337
19:40:40:4800,0.2100,-0.2146,0.0330,0.302
19:40:40:4850,0.2100,-0.2146,0.0330,0.302
19:40:40:4890,0.2100,-0.2146,0.0330,0.302
19:40:40:4950,0.2100,-0.2146,0.0330,0.302
19:40:40:5000,0.0195,-0.1335,-0.1753,0.221
19:40:40:5040,0.0195,-0.1335,-0.1753,0.221
19:40:40:5220,0.0195,-0.1335,-0.1753,0.221
19:40:40:5220,0.0195,-0.1335,-0.1753,0.221
19:40:40:5230,0.0195,-0.1335,-0.1753,0.221
19:40:40:5300,-0.1980,-0.1869,0.5141,0.582
19:40:40:5310,-0.1980,-0.1869,0.5141,0.582
19:40:40:5340,-0.1980,-0.1869,0.5141,0.582
19:40:40:5400,-0.1980,-0.1869,0.5141,0.582
19:40:40:5440,0.1431,-0.4690,0.4253,0.649
19:40:40:5490,0.1431,-0.4690,0.4253,0.649
19:40:40:5540,0.1431,-0.4690,0.4253,0.649
